battery_id,battery_formula,working_ion,max_voltage_step,elements,nelements,max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,stability_charge,stability_discharge,material_ids
mp-26060_Li,Li0-6Mn3(PO4)4,Li,2.229517611,"[Element Mn, Element P, Element O]",3,0.224899319,4.191466971,274.256158,773.2300777,1149.535628,3240.968332,0.13335079,0.072631453,"[MPID(mp-26060), MPID(mp-585338), MPID(mp-780723)]"
mp-770558_Li,Li0-2MnP2O7,Li,0.891099907,"[Element Mn, Element P, Element O]",3,0.15289416,3.880422472,220.8033383,637.1192099,856.8102358,2472.291699,0.00608228,0.043297648,"[MPID(mp-770558), MPID(mp-775933), MPID(mp-776393)]"
mp-540042_Li,Li0-1Mn5(P2O7)4,Li,0,"[Element Mn, Element P, Element O]",3,0.009686516,4.485987513,27.42107343,79.43624857,123.010593,356.3500192,0.035021701,0.034267545,"[MPID(mp-540042), MPID(mp-540517)]"
mp-772041_Li,Li0-0.67MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.066269521,3.607020848,115.6207518,370.7000078,417.0464622,1337.122657,0.049600942,0.062117522,"[MPID(mp-772269), MPID(mp-772041)]"
mp-26555_Li,Li0-2MnP2O7,Li,1.267157043,"[Element Mn, Element P, Element O]",3,0.038870831,4.2477901,220.8033383,622.5868606,937.9262344,2644.618303,0.072622637,0.037520008,"[MPID(mp-585266), MPID(mp-26555), MPID(mp-31953), MPID(mp-935620)]"
mp-763022_Li,Li0-0.12FeOF,Li,0,"[Element Fe, Element O, Element F]",3,0.052321101,2.077915153,36.5300349,151.6310507,75.90631308,315.0764579,0.082394192,0.143460214,"[MPID(mp-763022), MPID(mp-1235795)]"
mp-770531_Li,Li0-2MnP2O7,Li,0.690652458,"[Element Mn, Element P, Element O]",3,0.200025091,3.861573522,220.8033383,612.9698996,852.6483247,2367.028334,0.001116592,0.042301066,"[MPID(mp-770531), MPID(mp-776395), MPID(mp-776396)]"
mp-754427_Li,Li0-1Fe3(OF3)2,Li,0,"[Element Fe, Element O, Element F]",3,0.016859034,5.605890898,83.63304203,326.7974117,468.8377091,1831.990636,0.123095967,0.007110704,"[MPID(mp-777811), MPID(mp-754427)]"
mp-775155_Li,Li4-5FeOF5,Li,0,"[Element Fe, Element O, Element F]",3,0.00257242,2.826265503,132.982499,401.0172599,375.8438494,1133.381248,0.108368885,0.099708338,"[MPID(mp-775155), MPID(mp-1177101)]"
mp-757088_Li,Li0-4Fe7(OF7)2,Li,0,"[Element Fe, Element O, Element F]",3,0.110096448,3.467460821,149.5920046,525.4180498,518.704415,1821.866502,0.080009501,0.034858101,"[MPID(mp-777455), MPID(mp-757088)]"
